Name,Value.1. open,Value.2. high,Value.3. low,Value.4. close,Value.5. volume
2018-08-21 12:17:00,216.4300,216.4500,216.4146,216.4146,28174
2018-08-21 12:16:00,216.4900,216.4900,216.4300,216.4300,26214
2018-08-21 12:15:00,216.4700,216.5200,216.4700,216.4752,68870
2018-08-21 12:14:00,216.4700,216.5500,216.4700,216.4700,26375
2018-08-21 12:13:00,216.4500,216.5198,216.4500,216.4800,21259
2018-08-21 12:12:00,216.5601,216.5601,216.4870,216.4870,38177
2018-08-21 12:11:00,216.6000,216.6000,216.5200,216.5400,46559
2018-08-21 12:10:00,216.7300,216.7300,216.5900,216.6000,45405
2018-08-21 12:09:00,216.6900,216.7300,216.6900,216.7300,23906
2018-08-21 12:08:00,216.6800,216.7120,216.6500,216.6500,21730
2018-08-21 12:07:00,216.7800,216.7800,216.5850,216.6800,46043
2018-08-21 12:06:00,216.7450,216.8001,216.7450,216.8000,42996
2018-08-21 12:05:00,216.7410,216.8000,216.7000,216.7100,43676
2018-08-21 12:04:00,216.8000,216.8300,216.7300,216.7300,44241
2018-08-21 12:03:00,216.7600,216.8300,216.7351,216.8000,55041
2018-08-21 12:02:00,216.6300,216.7800,216.6300,216.7600,67316
2018-08-21 12:01:00,216.5200,216.6950,216.5100,216.5900,81656
2018-08-21 12:00:00,216.4300,216.5310,216.4300,216.5200,43427
2018-08-21 11:59:00,216.4995,216.5195,216.3800,216.4068,46044
2018-08-21 11:58:00,216.4500,216.5300,216.4400,216.4800,82924
2018-08-21 11:57:00,216.4800,216.4800,216.4400,216.4600,22057
2018-08-21 11:56:00,216.3800,216.4945,216.3800,216.4945,62864
2018-08-21 11:55:00,216.5590,216.5590,216.3500,216.3700,53671
2018-08-21 11:54:00,216.3067,216.5600,216.3067,216.5500,181030
2018-08-21 11:53:00,216.1812,216.3100,216.1812,216.3100,105883
2018-08-21 11:52:00,216.1832,216.1832,216.1000,216.1600,49191
2018-08-21 11:51:00,216.0050,216.1800,216.0050,216.1800,47390
2018-08-21 11:50:00,216.0050,216.0100,215.9400,216.0000,34364
2018-08-21 11:49:00,215.9888,216.0200,215.9742,216.0000,33615
2018-08-21 11:48:00,215.9800,216.0300,215.9701,215.9900,42639
2018-08-21 11:47:00,215.9401,215.9700,215.9100,215.9668,41536
2018-08-21 11:46:00,215.9100,215.9600,215.9100,215.9550,28302
2018-08-21 11:45:00,216.0000,216.0198,215.9051,215.9200,36591
2018-08-21 11:44:00,216.0200,216.0302,215.9798,216.0100,48356
2018-08-21 11:43:00,216.0400,216.0400,215.9500,215.9800,49581
2018-08-21 11:42:00,216.1000,216.1700,216.0200,216.0400,81908
2018-08-21 11:41:00,216.0472,216.1600,216.0472,216.1300,48692
2018-08-21 11:40:00,216.0680,216.0900,216.0400,216.0544,52704
2018-08-21 11:39:00,216.1100,216.1500,216.0833,216.0833,36204
2018-08-21 11:38:00,216.1100,216.1400,216.0600,216.1000,70466
2018-08-21 11:37:00,215.9300,216.0500,215.9300,216.0500,91000
2018-08-21 11:36:00,215.9500,215.9600,215.8850,215.9301,31646
2018-08-21 11:35:00,215.9000,216.0000,215.9000,215.9501,79765
2018-08-21 11:34:00,215.7800,215.9200,215.7800,215.9065,36954
2018-08-21 11:33:00,215.7800,215.8400,215.7200,215.8400,37470
2018-08-21 11:32:00,215.8500,215.8716,215.7600,215.7803,43429
2018-08-21 11:31:00,215.7200,215.8600,215.7200,215.8435,75394
2018-08-21 11:30:00,215.5850,215.7103,215.5600,215.6950,71765
2018-08-21 11:29:00,215.7200,215.7234,215.5500,215.6000,59753
2018-08-21 11:28:00,215.7100,215.7300,215.6900,215.7201,64129
2018-08-21 11:27:00,215.6700,215.7900,215.6500,215.7499,54056
2018-08-21 11:26:00,215.7600,215.8000,215.6600,215.6800,73803
2018-08-21 11:25:00,215.6600,215.7550,215.6600,215.7400,58854
2018-08-21 11:24:00,215.3500,215.7000,215.3500,215.6700,158945
2018-08-21 11:23:00,215.2100,215.3400,215.2100,215.3400,61323
2018-08-21 11:22:00,215.1000,215.2240,215.1000,215.2200,79325
2018-08-21 11:21:00,215.0600,215.1300,214.9600,215.1256,65043
2018-08-21 11:20:00,215.0200,215.0800,215.0200,215.0800,46269
2018-08-21 11:19:00,215.0550,215.1000,215.0100,215.0100,39242
2018-08-21 11:18:00,215.0000,215.0700,215.0000,215.0100,54561
2018-08-21 11:17:00,214.8600,215.0500,214.8600,215.0200,103924
2018-08-21 11:16:00,214.6732,214.8900,214.6732,214.8800,66303
